target_id,intended_target_gene_id,intended_target_entrez_gene_id,intended_target_official_full_name,intended_target_gene_name,intended_target_official_symbol,intended_target_gene_symbol,intended_target_description,intended_target_uniprot_accession_number,intended_target_organism_id,intended_target_track_status,technological_target_gene_id,technological_target_entrez_gene_id,technological_target_official_full_name,technological_target_gene_name,technological_target_official_symbol,technological_target_gene_symbol,technological_target_description,technological_target_uniprot_accession_number,technological_target_organism_id,technological_target_track_status
443,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,147,2939,glutathione S-transferase alpha 2,glutathione S-transferase alpha 2,GSTA2,GSTA2,\N,P09210,1,live
444,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,154,3158,3-hydroxy-3-methylglutaryl-CoA synthase 2 (mitochondrial),3-hydroxy-3-methylglutaryl-CoA synthase 2 (mitochondrial),HMGCS2,HMGCS2,\N,P54868,1,live
445,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,367,10599,"solute carrier organic anion transporter family, member 1B1","solute carrier organic anion transporter family, member 1B1",SLCO1B1,SLCO1B1,\N,Q9Y6L6,1,live
446,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,307,6822,"sulfotransferase family, cytosolic, 2A, dehydroepiandrosterone (DHEA)-preferring, member 1","sulfotransferase family, cytosolic, 2A, dehydroepiandrosterone (DHEA)-preferring, member 1",SULT2A1,SULT2A1,\N,Q06520,1,live
447,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,430,54658,"UDP glucuronosyltransferase 1 family, polypeptide A1","UDP glucuronosyltransferase 1 family, polypeptide A1",UGT1A1,UGT1A1,\N,P22309,1,live
448,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,373,22926,activating transcription factor 6,activating transcription factor 6,ATF6,ATF6,\N,P18850,1,live
449,373,22926,activating transcription factor 6,activating transcription factor 6,ATF6,ATF6,\N,P18850,1,live,373,22926,activating transcription factor 6,activating transcription factor 6,ATF6,ATF6,\N,P18850,1,live
450,155,3164,"nuclear receptor subfamily 4, group A, member 1","nuclear receptor subfamily 4, group A, member 1",NR4A1,NR4A1,\N,P22736,1,live,155,3164,"nuclear receptor subfamily 4, group A, member 1","nuclear receptor subfamily 4, group A, member 1",NR4A1,NR4A1,\N,P22736,1,live
451,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,155,3164,"nuclear receptor subfamily 4, group A, member 1","nuclear receptor subfamily 4, group A, member 1",NR4A1,NR4A1,\N,P22736,1,live
452,140,2649,"nuclear receptor subfamily 6, group A, member 1","nuclear receptor subfamily 6, group A, member 1",NR6A1,NR6A1,\N,Q15406,1,live,140,2649,"nuclear receptor subfamily 6, group A, member 1","nuclear receptor subfamily 6, group A, member 1",NR6A1,NR6A1,\N,Q15406,1,live
453,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,140,2649,"nuclear receptor subfamily 6, group A, member 1","nuclear receptor subfamily 6, group A, member 1",NR6A1,NR6A1,\N,Q15406,1,live
454,317,7026,"nuclear receptor subfamily 2, group F, member 2","nuclear receptor subfamily 2, group F, member 2",NR2F2,NR2F2,\N,P24468,1,live,317,7026,"nuclear receptor subfamily 2, group F, member 2","nuclear receptor subfamily 2, group F, member 2",NR2F2,NR2F2,\N,P24468,1,live
455,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,317,7026,"nuclear receptor subfamily 2, group F, member 2","nuclear receptor subfamily 2, group F, member 2",NR2F2,NR2F2,\N,P24468,1,live
456,360,10002,"nuclear receptor subfamily 2, group E, member 3","nuclear receptor subfamily 2, group E, member 3",NR2E3,NR2E3,\N,Q9Y5X4,1,live,360,10002,"nuclear receptor subfamily 2, group E, member 3","nuclear receptor subfamily 2, group E, member 3",NR2E3,NR2E3,\N,Q9Y5X4,1,live
457,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,360,10002,"nuclear receptor subfamily 2, group E, member 3","nuclear receptor subfamily 2, group E, member 3",NR2E3,NR2E3,\N,Q9Y5X4,1,live
458,135,2494,"nuclear receptor subfamily 5, group A, member 2","nuclear receptor subfamily 5, group A, member 2",NR5A2,NR5A2,\N,O00482,1,live,135,2494,"nuclear receptor subfamily 5, group A, member 2","nuclear receptor subfamily 5, group A, member 2",NR5A2,NR5A2,\N,O00482,1,live
459,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,135,2494,"nuclear receptor subfamily 5, group A, member 2","nuclear receptor subfamily 5, group A, member 2",NR5A2,NR5A2,\N,O00482,1,live
460,355,9572,"nuclear receptor subfamily 1, group D, member 1","nuclear receptor subfamily 1, group D, member 1",NR1D1,NR1D1,\N,P20393,1,live,355,9572,"nuclear receptor subfamily 1, group D, member 1","nuclear receptor subfamily 1, group D, member 1",NR1D1,NR1D1,\N,P20393,1,live
461,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,355,9572,"nuclear receptor subfamily 1, group D, member 1","nuclear receptor subfamily 1, group D, member 1",NR1D1,NR1D1,\N,P20393,1,live
462,158,3174,"hepatocyte nuclear factor 4, gamma","hepatocyte nuclear factor 4, gamma",HNF4G,HNF4G,\N,Q14541,1,live,158,3174,"hepatocyte nuclear factor 4, gamma","hepatocyte nuclear factor 4, gamma",HNF4G,HNF4G,\N,Q14541,1,live
463,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,158,3174,"hepatocyte nuclear factor 4, gamma","hepatocyte nuclear factor 4, gamma",HNF4G,HNF4G,\N,Q14541,1,live
464,120,2103,estrogen-related receptor beta,estrogen-related receptor beta,ESRRB,ESRRB,\N,O95718,1,live,120,2103,estrogen-related receptor beta,estrogen-related receptor beta,ESRRB,ESRRB,\N,O95718,1,live
465,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,120,2103,estrogen-related receptor beta,estrogen-related receptor beta,ESRRB,ESRRB,\N,O95718,1,live
466,202,4306,"nuclear receptor subfamily 3, group C, member 2","nuclear receptor subfamily 3, group C, member 2",NR3C2,NR3C2,\N,P08235,1,live,202,4306,"nuclear receptor subfamily 3, group C, member 2","nuclear receptor subfamily 3, group C, member 2",NR3C2,NR3C2,\N,P08235,1,live
467,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,202,4306,"nuclear receptor subfamily 3, group C, member 2","nuclear receptor subfamily 3, group C, member 2",NR3C2,NR3C2,\N,P08235,1,live
468,316,7025,"nuclear receptor subfamily 2, group F, member 1","nuclear receptor subfamily 2, group F, member 1",NR2F1,NR2F1,\N,P10589,1,live,316,7025,"nuclear receptor subfamily 2, group F, member 1","nuclear receptor subfamily 2, group F, member 1",NR2F1,NR2F1,\N,P10589,1,live
469,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,316,7025,"nuclear receptor subfamily 2, group F, member 1","nuclear receptor subfamily 2, group F, member 1",NR2F1,NR2F1,\N,P10589,1,live
470,341,8013,"nuclear receptor subfamily 4, group A, member 3","nuclear receptor subfamily 4, group A, member 3",NR4A3,NR4A3,\N,Q92570,1,live,341,8013,"nuclear receptor subfamily 4, group A, member 3","nuclear receptor subfamily 4, group A, member 3",NR4A3,NR4A3,\N,Q92570,1,live
471,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,341,8013,"nuclear receptor subfamily 4, group A, member 3","nuclear receptor subfamily 4, group A, member 3",NR4A3,NR4A3,\N,Q92570,1,live
472,331,7182,"nuclear receptor subfamily 2, group C, member 2","nuclear receptor subfamily 2, group C, member 2",NR2C2,NR2C2,\N,P49116,1,live,331,7182,"nuclear receptor subfamily 2, group C, member 2","nuclear receptor subfamily 2, group C, member 2",NR2C2,NR2C2,\N,P49116,1,live
473,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,331,7182,"nuclear receptor subfamily 2, group C, member 2","nuclear receptor subfamily 2, group C, member 2",NR2C2,NR2C2,\N,P49116,1,live
474,20,190,"nuclear receptor subfamily 0, group B, member 1","nuclear receptor subfamily 0, group B, member 1",NR0B1,NR0B1,\N,P51843,1,live,20,190,"nuclear receptor subfamily 0, group B, member 1","nuclear receptor subfamily 0, group B, member 1",NR0B1,NR0B1,\N,P51843,1,live
475,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,20,190,"nuclear receptor subfamily 0, group B, member 1","nuclear receptor subfamily 0, group B, member 1",NR0B1,NR0B1,\N,P51843,1,live
476,358,9975,"nuclear receptor subfamily 1, group D, member 2","nuclear receptor subfamily 1, group D, member 2",NR1D2,NR1D2,\N,Q14995,1,live,358,9975,"nuclear receptor subfamily 1, group D, member 2","nuclear receptor subfamily 1, group D, member 2",NR1D2,NR1D2,\N,Q14995,1,live
477,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,358,9975,"nuclear receptor subfamily 1, group D, member 2","nuclear receptor subfamily 1, group D, member 2",NR1D2,NR1D2,\N,Q14995,1,live
478,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,235,5241,progesterone receptor,progesterone receptor,PGR,PGR,\N,P06401,1,live
479,289,6258,"retinoid X receptor, gamma","retinoid X receptor, gamma",RXRG,RXRG,\N,P48443,1,live,289,6258,"retinoid X receptor, gamma","retinoid X receptor, gamma",RXRG,RXRG,\N,P48443,1,live
480,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,289,6258,"retinoid X receptor, gamma","retinoid X receptor, gamma",RXRG,RXRG,\N,P48443,1,live
481,136,2516,"nuclear receptor subfamily 5, group A, member 1","nuclear receptor subfamily 5, group A, member 1",NR5A1,NR5A1,\N,Q13285,1,live,136,2516,"nuclear receptor subfamily 5, group A, member 1","nuclear receptor subfamily 5, group A, member 1",NR5A1,NR5A1,\N,Q13285,1,live
482,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,136,2516,"nuclear receptor subfamily 5, group A, member 1","nuclear receptor subfamily 5, group A, member 1",NR5A1,NR5A1,\N,Q13285,1,live
483,342,8431,"nuclear receptor subfamily 0, group B, member 2","nuclear receptor subfamily 0, group B, member 2",NR0B2,NR0B2,\N,Q15466,1,live,342,8431,"nuclear receptor subfamily 0, group B, member 2","nuclear receptor subfamily 0, group B, member 2",NR0B2,NR0B2,\N,Q15466,1,live
484,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,342,8431,"nuclear receptor subfamily 0, group B, member 2","nuclear receptor subfamily 0, group B, member 2",NR0B2,NR0B2,\N,Q15466,1,live
485,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,118,2100,estrogen receptor 2 (ER beta),estrogen receptor 2 (ER beta),ESR2,ESR2,\N,Q92731,1,live
486,326,7101,"nuclear receptor subfamily 2, group E, member 1","nuclear receptor subfamily 2, group E, member 1",NR2E1,NR2E1,\N,Q9Y466,1,live,326,7101,"nuclear receptor subfamily 2, group E, member 1","nuclear receptor subfamily 2, group E, member 1",NR2E1,NR2E1,\N,Q9Y466,1,live
487,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,326,7101,"nuclear receptor subfamily 2, group E, member 1","nuclear receptor subfamily 2, group E, member 1",NR2E1,NR2E1,\N,Q9Y466,1,live
488,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,322,7068,"thyroid hormone receptor, beta","thyroid hormone receptor, beta",THRB,THRB,\N,P10828,1,live
489,116,2063,"nuclear receptor subfamily 2, group F, member 6","nuclear receptor subfamily 2, group F, member 6",NR2F6,NR2F6,\N,P10588,1,live,116,2063,"nuclear receptor subfamily 2, group F, member 6","nuclear receptor subfamily 2, group F, member 6",NR2F6,NR2F6,\N,P10588,1,live
490,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,116,2063,"nuclear receptor subfamily 2, group F, member 6","nuclear receptor subfamily 2, group F, member 6",NR2F6,NR2F6,\N,P10588,1,live
491,330,7181,"nuclear receptor subfamily 2, group C, member 1","nuclear receptor subfamily 2, group C, member 1",NR2C1,NR2C1,\N,P13056,1,live,330,7181,"nuclear receptor subfamily 2, group C, member 1","nuclear receptor subfamily 2, group C, member 1",NR2C1,NR2C1,\N,P13056,1,live
492,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,330,7181,"nuclear receptor subfamily 2, group C, member 1","nuclear receptor subfamily 2, group C, member 1",NR2C1,NR2C1,\N,P13056,1,live
493,498,54314,thyroid peroxidase,thyroid peroxidase,Tpo,Tpo,\N,P14650,3,live,498,54314,thyroid peroxidase,thyroid peroxidase,Tpo,Tpo,\N,P14650,3,live
494,497,\N,\N,"luciferase [Cloning vector pGL3-Basic, complete sequence]",\N,\N,\N,U47295,12,live,497,\N,\N,"luciferase [Cloning vector pGL3-Basic, complete sequence]",\N,\N,\N,U47295,12,live
495,499,445522,\N,thyroid peroxidase,TPO,TPO,\N,P09933,5,live,499,445522,\N,thyroid peroxidase,TPO,TPO,\N,P09933,5,live
